sn,unique_code,state_name,lga_name,ward_name,ward_code,take_off_point,takeoffpoint_code,settlement_name,primary_settlement_name,alternate_name,name of RI Health Facility,latitude,longitude,lat,lon,status,security_compromised,accessibility_status,reasons_for_inaccessibility,habitational_status,set_population,set_target,New_Set_T,MR_SP,ST,number_of_household,noncompliant_household,team_code,day_of_activity,urban,rural,scattered,highrisk,slums,densely_populated,hard2reach,border,nomadic,riverine,fulani,source,comments,GIS comment,globalid,validation_status,gis_feedback,master.id,mlos_id
15771.0,Niger_Rijau_Dugge_Berefada,Niger,Rijau,Dugge,NISRJA02,BHC Dugge,,Berefada,Berefada,,Dugge PHC,11.12536,5.12049,,,With coordinate,N,Fully Accessible,,Inhabited,940.0,235.0,188,940.0,188.0,55.0,0.0,34.0,1,N,Y,Y,N,N,N,Y,N,N,N,N,MLoS,,,0f7a70de-90b1-4455-b596-1a4bee48fa02,Validated,,196168,mlos_d472ffc2fb
15772.0,Niger_Rijau_Dugge_Fada Abana,Niger,Rijau,Dugge,NISRJA02,BHC Dugge,,Fada Abana,Fada Abana,,Dugge PHC,11.07165672,5.097438337,,,With coordinate,N,Fully Accessible,,Inhabited,996.0,249.0,199,996.0,199.0,80.0,0.0,31.0,4,N,Y,Y,N,N,N,Y,N,N,Y,N,MLoS,,,cf6c3ae0-18b7-472a-853b-f5eb55ccff47,Validated,,196169,mlos_99091c1c3e
15773.0,Niger_Rijau_Dugge_Gwazo,Niger,Rijau,Dugge,NISRJA02,BHC Dugge,,Gwazo,Gwazo,,Dugge PHC,11.0719,5.067146,,,With coordinate,Y,Partially Inaccessible,Banditry/Kidnapping,Inhabited,848.0,212.0,170,848.0,170.0,79.0,0.0,33.0,1,N,Y,Y,Y,N,N,Y,N,N,N,N,MLoS,,,a4c1d1d1-a0ec-413e-9745-4f5091f0a0ea,Validated,,196170,mlos_f8af0d61ff
15774.0,Niger_Rijau_Dugge_Makaranta,Niger,Rijau,Dugge,NISRJA02,BHC Dugge,,Makaranta,Makaranta,,Dugge PHC,11.0748683,5.1149731,,,With coordinate,N,Fully Accessible,,Inhabited,1132.0,283.0,226,1132.0,226.0,80.0,0.0,31.0,3,N,Y,N,N,N,N,N,N,N,N,N,MLoS,Outside Ward Boundary,,5ea083b4-88d8-455e-8a94-df0ab7f24adb,Validation ongoing,,196171,mlos_8c35bb1d61
15775.0,Niger_Rijau_Dugge_Makaza,Niger,Rijau,Dugge,NISRJA02,BHC Dugge,,Makaza,Makaza,,Dugge PHC,11.10631,5.11505,,,With coordinate,Y,Partially Inaccessible,Banditry/Kidnapping,Inhabited,448.0,112.0,90,,,52.0,0.0,34.0,2,N,Y,N,N,N,N,N,N,N,N,N,Polio_GDB,,,fd914cb8-4fa4-4003-bebe-9247988122b1,Validated,,513171,
15776.0,Niger_Rijau_Dugge_Malam Yawo,Niger,Rijau,Dugge,NISRJA02,BHC Dugge,,Malam Yawo,Malam Yawo,Malam Yawo,Dugge PHC,11.0687526,5.1439973,,,With coordinate,Y,Partially Inaccessible,Banditry/Kidnapping,Inhabited,840.0,210.0,168,,,79.0,0.0,31.0,1,N,Y,Y,N,N,N,Y,N,N,Y,N,MLoS,,,5b6b48cf-8862-4ba0-b84c-68740b1a9327,Validated,,,
15777.0,Niger_Rijau_Dugge_Nayo,Niger,Rijau,Dugge,NISRJA02,BHC Dugge,,Nayo,Nayo,,Dugge PHC,11.09926,5.071417,,,With coordinate,Y,Partially Inaccessible,Banditry/Kidnapping,Inhabited,740.0,185.0,148,840.0,168.0,40.0,0.0,32.0,1,N,Y,Y,Y,N,N,Y,N,N,N,N,MLoS,,,a75faa83-c320-4acd-9de1-fdfcebf8da63,Validated,,196173,mlos_0aba7d06ec
15778.0,Niger_Rijau_Dugge_Orodo,Niger,Rijau,Dugge,NISRJA02,BHC Dugge,,Orodo,Orondo,,Dugge PHC,11.06408,5.093209,,,With coordinate,N,Fully Accessible,,Inhabited,688.0,172.0,138,740.0,148.0,80.0,0.0,33.0,4,N,Y,Y,Y,N,N,Y,N,N,N,N,MLoS,,,06a49606-edaf-4489-a59e-ad32f7605f52,Validated,,196174,mlos_b1f60200d4
15779.0,Niger_Rijau_Dugge_Pella 1,Niger,Rijau,Dugge,NISRJA02,BHC Dugge,,Pella 1,Pella 1,,Dugge PHC,11.0385126,5.0351093,,,With coordinate,Y,Partially Inaccessible,Banditry/Kidnapping,Inhabited,848.0,212.0,170,688.0,138.0,80.0,0.0,35.0,1,N,Y,Y,Y,N,N,Y,N,N,Y,N,MLoS,Outside State Boundary,,b8065141-ef2d-48b6-9400-32c7078d0ce8,Validation ongoing,,196175,mlos_636c12d83e
15780.0,Niger_Rijau_Dugge_Pella 2,Niger,Rijau,Dugge,NISRJA02,BHC Dugge,,Pella 2,Pella 2,,Dugge PHC,11.11429,5.13903,,,With coordinate,Y,Partially Inaccessible,Banditry/Kidnapping,Inhabited,1148.0,287.0,230,848.0,170.0,81.0,0.0,35.0,2,N,Y,Y,Y,N,N,Y,N,N,Y,N,MLoS,,,cf20c1f0-792c-408c-88e5-27120d41c005,Validated,,196176,mlos_e75f99fb78
